country	year
Tunisia	1997
Tunisia	2002
Tunisia	2007
Turkey	1952
Turkey	1957
Turkey	1962
Turkey	1967
Turkey	1972
Turkey	1977
Turkey	1982
Turkey	1987
Turkey	1992
Turkey	1997
Turkey	2002
Turkey	2007
Uganda	1952
Uganda	1957
Uganda	1962
Uganda	1967
Uganda	1972
Uganda	1977
Uganda	1982
Uganda	1987
Uganda	1992
Uganda	1997
Uganda	2002
Uganda	2007
United_Kingdom	1952
United_Kingdom	1957
United_Kingdom	1962
United_Kingdom	1967
United_Kingdom	1972
United_Kingdom	1977
United_Kingdom	1982
United_Kingdom	1987
United_Kingdom	1992
United_Kingdom	1997
United_Kingdom	2002
United_Kingdom	2007
United_States	1952
United_States	1957
United_States	1962
United_States	1967
United_States	1972
United_States	1977
United_States	1982
United_States	1987
United_States	1992
United_States	1997
United_States	2002
United_States	2007
Uruguay	1952
Uruguay	1957
Uruguay	1962
Uruguay	1967
Uruguay	1972
Uruguay	1977
Uruguay	1982
Uruguay	1987
Uruguay	1992
Uruguay	1997
Uruguay	2002
Uruguay	2007
Venezuela	1952
Venezuela	1957
Venezuela	1962
Venezuela	1967
Venezuela	1972
Venezuela	1977
Venezuela	1982
Venezuela	1987
Venezuela	1992
Venezuela	1997
Venezuela	2002
Venezuela	2007
Vietnam	1952
Vietnam	1957
Vietnam	1962
Vietnam	1967
Vietnam	1972
Vietnam	1977
Vietnam	1982
Vietnam	1987
Vietnam	1992
Vietnam	1997
Vietnam	2002
Vietnam	2007
West_Bank_and_Gaza	1952
West_Bank_and_Gaza	1957
West_Bank_and_Gaza	1962
West_Bank_and_Gaza	1967
West_Bank_and_Gaza	1972
West_Bank_and_Gaza	1977
West_Bank_and_Gaza	1982
West_Bank_and_Gaza	1987
West_Bank_and_Gaza	1992
West_Bank_and_Gaza	1997
West_Bank_and_Gaza	2002
West_Bank_and_Gaza	2007
Yemen_Rep	1952
Yemen_Rep	1957
Yemen_Rep	1962
Yemen_Rep	1967
Yemen_Rep	1972
Yemen_Rep	1977
Yemen_Rep	1982
Yemen_Rep	1987
Yemen_Rep	1992
Yemen_Rep	1997
Yemen_Rep	2002
Yemen_Rep	2007
Zambia	1952
Zambia	1957
Zambia	1962
Zambia	1967
Zambia	1972
Zambia	1977
Zambia	1982
Zambia	1987
Zambia	1992
Zambia	1997
Zambia	2002
Zambia	2007
Zimbabwe	1952
Zimbabwe	1957
Zimbabwe	1962
Zimbabwe	1967
Zimbabwe	1972
Zimbabwe	1977
Zimbabwe	1982
Zimbabwe	1987
Zimbabwe	1992
Zimbabwe	1997
Zimbabwe	2002
Zimbabwe	2007
